x,y,z,intensity,gps_time,label,global_id
746058.13007813,2574344.78428589,451.70126343,3084,4498.67919922,30,708010003
746058.09998779,2574345.17878662,451.78875732,3084,4498.67919922,30,708010003
746058.66077881,2574344.53929077,451.64505005,2570,4498.77783203,30,708010003
746058.62470703,2574344.56220947,451.74703979,2570,4498.77783203,30,708010003
746058.59980469,2574344.72248779,451.85095215,2570,4498.77783203,30,708010003
746058.52698975,2574344.80699097,452.06655884,5140,4498.77783203,30,708010003
746058.49281006,2574344.87458740,452.17434692,2570,4498.77783203,30,708010003
746058.69520264,2574344.55250488,451.72186279,7710,4498.87792969,30,708010003
746058.66627197,2574344.78120361,452.04434204,7967,4498.87841797,30,708010003
746058.66157227,2574344.91249023,452.15576172,8224,4498.87841797,30,708010003
746058.55421143,2574345.43260132,450.81524658,3598,4498.97900391,30,708010003
746058.48939209,2574344.69090210,450.96963501,3341,4498.97900391,30,708010003
746058.48072510,2574344.53309570,451.08944702,13878,4498.97900391,30,708010003
746058.48988037,2574344.55979858,451.19946289,13878,4498.97900391,30,708010003
746058.49580078,2574344.55030762,451.31115723,13878,4498.97900391,30,708010003
746058.50062256,2574344.53221069,451.41744995,13878,4498.97900391,30,708010003
746058.50861816,2574344.54389893,451.52813721,13878,4498.97949219,30,708010003
746058.51838379,2574344.57099854,451.63833618,13878,4498.97949219,30,708010003
746058.57612305,2574344.85880981,452.07705688,3341,4498.97949219,30,708010003
746058.62507324,2574345.27610718,452.18225098,3598,4498.97949219,30,708010003
746058.42927246,2574344.92091309,452.10955811,7710,4499.88330078,30,708010003
746058.49409180,2574344.90440308,452.02606201,3855,4499.88330078,30,708010003
746058.14362793,2574347.82289062,450.84484863,2570,4499.88330078,30,708010003
746058.17500000,2574347.37620483,450.77874756,2570,4499.88378906,30,708010003
746058.24860840,2574347.41450439,450.68603516,2570,4499.88378906,30,708010003
746058.16712646,2574345.08589111,450.65545654,2570,4499.88378906,30,708010003
746058.43629150,2574344.91249023,452.11145020,11822,4499.97998047,30,708010003
746058.48292236,2574344.92369019,452.01205444,3855,4499.97998047,30,708010003
746058.58161621,2574344.58949219,451.72424316,11822,4499.97998047,30,708010003
746058.62470703,2574344.57551514,451.62625122,19789,4499.97998047,30,708010003
746058.66682129,2574344.55311523,451.52844238,25700,4499.97998047,30,708010003
746058.70722656,2574344.53678833,451.43545532,11822,4499.98046875,30,708010003
746058.50660400,2574344.94239746,452.13034058,3084,4500.08203125,30,708010003
746058.51789551,2574344.84858643,452.02484131,3084,4500.08203125,30,708010003
746058.57679443,2574345.19169556,451.90884399,3084,4500.08203125,30,708010003
746058.59779053,2574345.18650757,451.80044556,3084,4500.08251953,30,708010003
746058.55329590,2574344.59089600,451.71115112,3084,4500.08251953,30,708010003
746058.57032471,2574344.56349121,451.61083984,12593,4500.08251953,30,708010003
746058.58820801,2574344.54579102,451.51034546,15677,4500.08251953,30,708010003
746058.60932617,2574344.54728638,451.40374756,15677,4500.08251953,30,708010003
746058.63367920,2574344.56581055,451.29104614,12593,4500.08300781,30,708010003
746058.67011719,2574344.92170654,452.19454956,2827,4500.18408203,30,708010003
746058.65961914,2574344.86869751,452.08636475,2827,4500.18408203,30,708010003
746058.68671875,2574345.14500366,451.97085571,2827,4500.18408203,30,708010003
746058.61481934,2574344.59010254,451.76745605,8481,4500.18408203,30,708010003
746058.60847168,2574344.57328735,451.65985107,11565,4500.18408203,30,708010003
746058.60090332,2574344.54429565,451.55285645,11565,4500.18408203,30,708010003
746058.59656982,2574344.54258667,451.44485474,11565,4500.18408203,30,708010003
746058.59309082,2574344.55061279,451.33636475,11565,4500.18408203,30,708010003
746058.58912354,2574344.55210815,451.22814941,11565,4500.18408203,30,708010003
746058.58277588,2574344.53349243,451.12084961,11565,4500.18408203,30,708010003
746059.28760986,2574344.88279663,452.16925049,5397,4500.27929688,30,708010003
746058.30646973,2574346.48350464,452.13903809,2570,4500.27929688,30,708010003
746058.26289063,2574346.35719238,452.03384399,2570,4500.27929688,30,708010003
746058.21802979,2574346.22660767,451.92434692,2570,4500.27929688,30,708010003
746058.18220215,2574346.17518555,451.81884766,2570,4500.27978516,30,708010003
746058.15388184,2574346.19889770,451.71145630,2570,4500.27978516,30,708010003
746058.10621338,2574346.01740967,451.61074829,2570,4500.27978516,30,708010003
746058.09638672,2574346.22349487,451.50204468,2570,4500.27978516,30,708010003
746058.08717041,2574346.45509277,451.38565063,2570,4500.27978516,30,708010003
746058.09272461,2574346.83558594,451.26654053,2570,4500.27978516,30,708010003
746058.12208252,2574347.84199463,451.00335693,2570,4500.27978516,30,708010003
746058.09608154,2574347.90681396,450.88735962,2827,4500.27978516,30,708010003
746058.76081543,2574344.67069946,451.87374878,1028,4501.06982422,30,708010003
746058.69941406,2574344.78068481,451.93264771,1028,4501.06982422,30,708010003
746058.54908447,2574344.81599365,452.05856323,3598,4501.06982422,30,708010003
746058.48188477,2574344.91990601,452.12155151,4883,4501.06982422,30,708010003
746058.69007568,2574345.36720215,450.87585449,2313,4501.16845703,30,708010003
746058.54822998,2574344.70930420,450.99765015,9509,4501.16845703,30,708010003
746058.46479492,2574344.52870117,451.08984375,14135,4501.16845703,30,708010003
746058.40449219,2574344.54209839,451.17114258,16448,4501.16845703,30,708010003
746058.34431152,2574344.55711304,451.25225830,11822,4501.16845703,30,708010003
746058.28162842,2574344.54991089,451.33435059,16448,4501.16845703,30,708010003
746058.22791748,2574344.62568604,451.41284180,16448,4501.16845703,30,708010003
746058.17237549,2574344.68739258,451.49224854,6939,4501.16894531,30,708010003
746058.97919922,2574344.86650024,452.17675781,3084,4501.16894531,30,708010003
746058.13477783,2574344.92369019,451.56533813,2313,4501.16894531,30,708010003
746058.11689453,2574345.36259399,451.63265991,2313,4501.16894531,30,708010003
746058.14600830,2574346.25840698,451.68356323,2313,4501.16894531,30,708010003
746058.57807617,2574344.59361206,451.02725220,2570,4501.26660156,30,708010003
746058.52448730,2574344.50871216,451.12554932,10023,4501.26708984,30,708010003
746058.48572998,2574344.54618774,451.21704102,12593,4501.26708984,30,708010003
746058.44447021,2574344.56361328,451.30966187,10023,4501.26708984,30,708010003
746058.40040283,2574344.55689941,451.40335083,10023,4501.26708984,30,708010003
746058.35780029,2574344.56181274,451.49655151,10023,4501.26708984,30,708010003
746058.31617432,2574344.57609497,451.58926392,10023,4501.26708984,30,708010003
746058.28162842,2574344.63551270,451.67584229,10280,4501.26708984,30,708010003
746059.22462158,2574344.87611328,452.17395020,8738,4501.26708984,30,708010003
746058.21040039,2574344.79811035,451.86285400,2570,4501.26708984,30,708010003
746058.17982178,2574344.90019165,451.94946289,2570,4501.26708984,30,708010003
746058.19630127,2574344.97120605,450.71945190,2827,4501.36523438,30,708010003
746058.16462402,2574344.87681519,450.82693481,2827,4501.36572266,30,708010003
746058.14448242,2574344.89109741,450.92733765,2827,4501.36572266,30,708010003
746058.11951904,2574344.85740601,451.03054810,2827,4501.36572266,30,708010003
746058.08997803,2574344.77970825,451.13574219,8738,4501.36572266,30,708010003
746058.07459717,2574344.82841431,451.22906494,5911,4501.36572266,30,708010003
746058.06092529,2574344.89259277,451.32196045,5911,4501.36572266,30,708010003
746058.05781250,2574345.07218872,451.41555786,8738,4501.36572266,30,708010003
746058.05872803,2574345.29328857,451.50863647,2827,4501.36621094,30,708010003
746058.05860596,2574345.51631104,451.60833740,2827,4501.36621094,30,708010003
746058.10419922,2574346.19020020,451.69006348,3084,4501.36621094,30,708010003
746058.13917236,2574346.75639282,451.77404785,3084,4501.36621094,30,708010003
746058.94569092,2574344.80821167,452.11123657,2827,4501.36621094,30,708010003
746058.95710449,2574345.05461060,452.20816040,2827,4501.36621094,30,708010003
746058.19801025,2574347.41239868,450.70983887,3855,4501.46826172,30,708010003
746058.18287354,2574347.27610718,450.82846069,3855,4501.46826172,30,708010003
746058.16590576,2574347.11949097,450.94714355,3855,4501.46826172,30,708010003
746058.07752686,2574346.24479614,451.10134888,3855,4501.46826172,30,708010003
746058.07758789,2574346.25819336,451.20724487,11565,4501.46826172,30,708010003
746058.07581787,2574346.25300537,451.30865479,3855,4501.46826172,30,708010003
746058.08009033,2574346.30729614,451.41284180,3855,4501.46875000,30,708010003
746058.09199219,2574346.43699585,451.51473999,3855,4501.46875000,30,708010003
746058.15021973,2574347.03361450,451.60156250,3855,4501.46875000,30,708010003
746058.97828369,2574344.95960937,452.15106201,4112,4501.46923828,30,708010003
746058.77900391,2574345.40818726,450.86483765,2313,4501.56738281,30,708010003
746058.96088867,2574344.86830078,452.04385376,2313,4501.56787109,30,708010003
746058.98157959,2574344.86140381,452.13973999,9766,4501.56787109,30,708010003
746058.26270752,2574346.46580444,452.01434326,3598,4502.38964844,30,708010003
746058.26691895,2574345.86061035,451.95724487,3341,4502.38964844,30,708010003
746058.23872070,2574344.99299561,451.91006470,3341,4502.38964844,30,708010003
746058.29591064,2574344.87998901,451.84155273,3341,4502.38964844,30,708010003
746058.35126953,2574344.81541382,451.77874756,3341,4502.38964844,30,708010003
746058.39289551,2574344.63749634,451.72006226,10280,4502.39013672,30,708010003
746058.06892090,2574347.92161499,450.77954102,2570,4502.39013672,30,708010003
746058.45240479,2574344.61408936,451.65634155,17219,4502.39013672,30,708010003
746058.11329346,2574347.59968506,450.72076416,2313,4502.39013672,30,708010003
746058.51789551,2574344.58540283,451.58624268,17219,4502.39013672,30,708010003
746058.17182617,2574347.46888672,450.65454102,2313,4502.39013672,30,708010003
746059.34559326,2574344.99351440,452.19195557,2827,4502.39013672,30,708010003
746058.64527588,2574344.55790649,451.45135498,25700,4502.39013672,30,708010003
746059.39747314,2574344.89140259,452.12423706,2827,4502.39013672,30,708010003
746058.33497314,2574345.55470215,452.10833740,3598,4502.49169922,30,708010003
746058.33137207,2574345.06629883,452.02975464,3598,4502.49169922,30,708010003
746058.35877686,2574344.87998901,451.95043945,3598,4502.49218750,30,708010003
746058.41938477,2574344.97950684,451.86413574,3598,4502.49218750,30,708010003
746058.47382813,2574344.64381348,451.71203613,10537,4502.49218750,30,708010003
746058.51551514,2574344.60978638,451.63433838,21331,4502.49218750,30,708010003
746059.41090088,2574344.94529663,452.11676025,4112,4502.49218750,30,708010003
746058.55860596,2574344.56910645,451.55294800,21331,4502.49218750,30,708010003
746058.60450439,2574344.55189453,451.47076416,15934,4502.49218750,30,708010003
746058.13758545,2574347.84388672,450.69454956,4369,4502.49218750,30,708010003
746058.65467529,2574344.56800781,451.38696289,25700,4502.49218750,30,708010003
746058.16840820,2574347.59400879,450.61413574,4369,4502.49267578,30,708010003
746058.70509033,2574344.58589111,451.30294800,14135,4502.49267578,30,708010003
746058.63520508,2574345.25349365,452.14584351,2570,4502.58886719,30,708010003
746058.61469727,2574344.85920654,452.06036377,11051,4502.58886719,30,708010003
746058.69459229,2574344.58290039,451.69934082,5397,4502.58886719,30,708010003
746058.72218018,2574344.57398926,451.60775757,13621,4502.58886719,30,708010003
746058.12537842,2574347.25651489,450.98974609,2827,4502.58935547,30,708010003
746058.15827637,2574347.29200684,450.89205933,2827,4502.58935547,30,708010003
746058.19691162,2574347.38270508,450.79064941,2827,4502.58935547,30,708010003
746058.23292236,2574347.43089233,450.68634033,2827,4502.58935547,30,708010003
746058.68769531,2574344.89320312,452.12634277,7196,4502.70214844,30,708010003
746058.67689209,2574344.58879028,451.76025391,2313,4502.70263672,30,708010003
746058.68342285,2574344.57850586,451.66055298,9766,4502.70263672,30,708010003
746058.68781738,2574344.55421387,451.56604004,12079,4502.70263672,30,708010003
746058.69379883,2574344.54341064,451.47116089,12079,4502.70263672,30,708010003
746058.70417480,2574344.56599365,451.37475586,9766,4502.70263672,30,708010003
746058.71387939,2574344.58229004,451.27835083,9766,4502.70263672,30,708010003
746058.09400635,2574347.75028931,450.61355591,2827,4502.70312500,30,708010003
746058.73341064,2574344.95078979,452.20004272,6425,4502.79199219,30,708010003
